alpha,p1,p2,mse,l0,experiment
0.0,0.0010120851,8.106701e-06,0.4544928,44.0,Congruent (Paris-Lyon)
0.05,0.0008295587,1.2050408e-05,0.45842373,42.0,Congruent (Paris-Lyon)
0.1,0.0006606335,1.7580824e-05,0.4814644,44.0,Congruent (Paris-Lyon)
0.15000000000000002,0.0005127946,2.5219291e-05,0.52291036,40.0,Congruent (Paris-Lyon)
0.2,0.0003895436,3.5660916e-05,0.58055466,38.0,Congruent (Paris-Lyon)
0.25,0.00029083635,4.983811e-05,0.6548905,37.0,Congruent (Paris-Lyon)
0.30000000000000004,0.00021426388,6.899667e-05,0.7453208,35.0,Congruent (Paris-Lyon)
0.35000000000000003,0.00015628878,9.477649e-05,0.8529909,36.0,Congruent (Paris-Lyon)
0.4,0.00011318045,0.00012929349,0.97800946,36.0,Congruent (Paris-Lyon)
0.45,8.153723e-05,0.00017520541,1.1211843,36.0,Congruent (Paris-Lyon)
0.5,5.851672e-05,0.0002357356,1.2579101,41.0,Congruent (Paris-Lyon)
0.55,4.1868716e-05,0.000314623,1.3920113,42.0,Congruent (Paris-Lyon)
0.6000000000000001,2.9874933e-05,0.00041593635,1.4969786,42.0,Congruent (Paris-Lyon)
0.65,2.1255471e-05,0.0005437103,1.5586423,47.0,Congruent (Paris-Lyon)
0.7000000000000001,1.5072067e-05,0.0007013722,1.6093578,47.0,Congruent (Paris-Lyon)
0.75,1.0644262e-05,0.0008909829,1.6388493,52.0,Congruent (Paris-Lyon)
0.8,7.4812397e-06,0.0011123948,1.6064917,56.0,Congruent (Paris-Lyon)
0.8500000000000001,5.2295886e-06,0.0013625639,1.4921856,62.0,Congruent (Paris-Lyon)
0.9,3.6345034e-06,0.0016352859,1.3625321,68.0,Congruent (Paris-Lyon)
0.9500000000000001,2.5114803e-06,0.0019215051,1.230261,74.0,Congruent (Paris-Lyon)
1.0,1.7264286e-06,0.002210282,1.1505222,83.0,Congruent (Paris-Lyon)
0.0,0.0007939029,2.7892647e-06,0.5620652,46.0,Exclusive (Paris-London)
